nom_produit,marque,prix,categorie,plateforme,site_source,url_produit,note,nombre_avis,disponibilite,page
"Logitech Zone 300 Casque Bluetooth sans Fil avec Microphone Anti-Parasite, Compatible avec Windows, Mac, Chrome, Linux, iOS, iPadOS, Android - Noir",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,0",0,Indisponible,2
"FOXMM x MCHOSE L7 Pro Souris Superlight 39g, Capteur 26 000 DPI, 6 DPI Réglables, Taux de Polling 8K Hz avec Récepteur 8K Ultra-Rapide, Souris de Jeu sans Fil/Filaire BT/2,4 G, Batterie 200 h Blanc",Logitech,"68,95€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,8",0,En stock,2
"Glorious GHS Eternal - Casque gaming stéréo pour PC, PS5, PS4, Xbox, Switch. Transducteurs inclinés sur mesures, micro détachable 3,5 mm haute-clarté ajustable. Résistant, confort longue durée. Blanc",Logitech,"59,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,0",0,En stock,2
"Spirit Of Gamer, Pack Clavier Souris Gamer RGB, Clavier Gamer Filaire Semi-Mecanique, Format Compact TKL 60%, Souris Gamer Filaire pour PC 12800 DPI,",Logitech,"39,28€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,N/A,0,En stock,2
"Logitech MX Ergo S souris trackball sans fil avancée, souris ergonomique sans fil rechargeable USB-C avec Bluetooth et dongle chiffré, 6 boutons programmables, pour PC/Mac - Graphite",Logitech,"79,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,5",0,En stock,2
"Logitech MX Keys S Combo:Clavier et Souris Sans Fil Performants avec Repose Poignet,Éclairage Personnalisable, Défilement Rapide,Bluetooth,Windows/Linux/Chrome/Mac, Clavier Français AZERTY-Gris",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,Indisponible,2
"Logitech G G733 Casque Gamer Sans Fil LIGHTSPEED avec Bandeau de Suspension, LIGHTSYNC RVB, de Micro Blue VO!CE, Transducteurs Audio PRO-G, Ultra-Léger, Batterie 29h, Portée de 20m, PS4, PS5 - Noir",Logitech,"84,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,En stock,2
"Logitech M171 Souris sans Fil pour PC, Mac, Ordinateur Portable, 2,4 GHz avec Mini-récepteur USB, Suivi Optique, Autonomie de Piles de 12 Mois, Ambidextre - Noire",Logitech,"10,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,En stock,2
"Logitech Signature Slim Solar+, Wireless Keyboard Powered by Solar and Artificial Light, Durable Battery for up to 10 Years, Customizable Keys, Bluetooth, French AZERTY Keyboard Graphite",Logitech,"89,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,1",0,En stock,2
"Logitech Desk Mat - Studio Series, Large Tapis de Bureau Multifonctionnel et Etendu, Protection Bureau avec Base Anti-Dérapage, Sous-Main Design Durable et Imperméable - Grise",Logitech,"12,95€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,En stock,2
"Logitech MeetUp, Système de ConférenceCam, Webcam Visioconférence, Ultra HD 4K/1080p/720p, 3 Microphones/Haut-Parleur Personnalisables, Champ de Vision Etendu 120°, PC/Mac/Portable/Macbook/Tablette",Logitech,"405,00€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",Livraison plus rapide,En stock,2
"Logitech Combo Touch, étui Clavier détachable pour iPad (10e génération et A16) avec pavé Tactile, Clavier rétroéclairé de Taille Standard et Technologie Smart Connector, AZERTY Français - Gris",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,Indisponible,2
"Logitech Souris de jeu sans fil G703 LIGHTSPEED, capteur HERO 25K, 25 600 DPI, RGB, poids réglables, 6 boutons programmables, autonomie prolongée, compatible PowerPlay, PC/Mac, noir",Logitech,"79,07€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,En stock,2
